drop,participant,session,mriMode,isPractice,runFilename,contextRole,contextId,cueId,isSick,corrButton,response.keys,response.rt,response.corr,restaurant,food,isTrain,roundId,trialId,expStartWallTime,actualChoiceOnset,actualChoiceOffset,actualIsiOnset,actualIsiOffset,actualFeedbackOnset,actualFeedbackOffset,actualItiOnset,actualItiOffset,actualItiDuration,itiDriftAdjustment,stimOnset,stimOffset,itiDuration,itiOffset
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,0,1,No,right,left,2.39795899391,0,El Coyote Cafe,mexican_food0.png,1,2,1,Sun Oct 30 13:56:11 2016,11.0302300453,13.4984629154,13.4989299774,14.5315139294,14.5319750309,15.532294035,15.5327060223,15.9488840103,0.501661062241,-1.10037994385,10.0,15.0,1.0,16.0
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,1,1,Yes,left,right,1.49886798859,0,Restaurante Arroyo,mexican_food0.png,1,2,2,Sun Oct 30 13:56:11 2016,15.9783658981,17.5472369194,17.5475869179,18.5803859234,18.5807421207,19.5809700489,19.5811779499,23.9478518963,4.45288801193,-0.0482439994812,16.0,21.0,3.0,24.0
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,0,1,No,right,right,1.97875499725,1,El Coyote Cafe,mexican_food0.png,1,2,3,Sun Oct 30 13:56:11 2016,23.95155406,25.9947519302,25.9951069355,27.0278711319,27.0283241272,28.0285799503,28.0287909508,29.9781699181,2.00538086891,-0.0158641338348,24.0,29.0,1.0,30.0
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,0,0,Yes,left,right,1.82892298698,0,El Coyote Cafe,mexican_food1.png,1,2,4,Sun Oct 30 13:56:11 2016,29.9819319248,31.8930289745,31.8934009075,32.9261319637,32.9264729023,33.9266870022,33.9268770218,35.9599580765,2.10709810257,-0.0639789104462,30.0,35.0,1.0,36.0
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,1,0,No,right,right,1.67984604836,1,Restaurante Arroyo,mexican_food1.png,1,2,5,Sun Oct 30 13:56:11 2016,35.9636929035,37.7079670429,37.7082929611,38.7410259247,38.7413780689,39.7416169643,39.741822958,43.9743931293,4.29215908051,-0.0279948711395,36.0,41.0,3.0,44.0
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,1,0,No,right,right,1.3926410675,1,Restaurante Arroyo,mexican_food1.png,1,2,6,Sun Oct 30 13:56:11 2016,43.9780631065,45.4391489029,45.4394791126,46.4722220898,46.4725689888,47.47281003,47.473017931,49.9556910992,2.56098103523,-0.0463778972626,44.0,49.0,1.0,50.0
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,0,0,Yes,left,left,1.57211303711,1,El Coyote Cafe,mexican_food1.png,1,2,7,Sun Oct 30 13:56:11 2016,49.9594321251,51.6039259434,51.6042759418,52.6370999813,52.6374430656,53.6376581192,53.6378509998,55.954761982,2.39619994164,-0.0316870212555,50.0,55.0,1.0,56.0
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,0,0,Yes,left,left,2.18525910378,1,El Coyote Cafe,mexican_food1.png,1,2,8,Sun Oct 30 13:56:11 2016,55.9585061073,58.2020540237,58.2023839951,59.2351760864,59.2355070114,60.2357180119,60.2359080315,61.9691810608,1.79807305336,-0.016667842865,56.0,61.0,1.0,62.0
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,1,1,Yes,left,right,2.82617402077,0,Restaurante Arroyo,mexican_food0.png,1,2,9,Sun Oct 30 13:56:11 2016,61.9728760719,64.8669071198,64.8672599792,65.9004158974,65.9007620811,66.9009740353,66.9011631012,67.9502279758,1.13327693939,-0.0405490398407,62.0,67.0,1.0,68.0
0,con001,001,scan,0,itis/csv/con001_run1_itis.csv,modulatory,1,1,Yes,left,left,1.43636012077,1,Restaurante Arroyo,mexican_food0.png,1,2,10,Sun Oct 30 13:56:11 2016,67.953897953,69.4488339424,69.4491660595,70.4819118977,70.4822471142,71.4824581146,71.4826478958,75.9656820297,4.55129599571,-0.0123438835144,68.0,73.0,3.0,76.0
